Date,SPY,QQQ
12/28/18,247.75,152.97
12/27/18,248.07,153.05
12/26/18,246.18,152.46
12/24/18,234.34,143.5
12/21/18,240.7,147.57
12/20/18,247.17,152.29
12/19/18,251.26,154.53
12/18/18,255.08,158.42
12/17/18,255.36,157.43
12/14/18,260.47,161.08
12/13/18,265.37,165.1
12/12/18,265.46,165.05
12/11/18,264.13,163.61
12/10/18,264.07,163.07
12/7/18,263.57,161.38
12/6/18,269.84,166.89
12/4/18,270.25,165.72
12/3/18,279.3,172.33
11/30/18,275.65,169.37
11/29/18,273.98,168.15
11/28/18,274.58,168.7
11/27/18,268.4,163.44
11/26/18,267.5,162.89
11/23/18,263.25,159.21
11/21/18,265.02,160.37
11/20/18,264.12,159.16
11/19/18,269.1,162.06
11/16/18,273.73,167.5
11/15/18,273.02,168.09
11/14/18,270.2,165.2
11/13/18,272.06,166.47
11/12/18,272.57,166.33
11/9/18,277.76,171.52
11/8/18,280.5,174.46
11/7/18,281.01,175.58
11/6/18,275.12,170.24
11/5/18,273.39,168.96
11/2/18,271.89,169.38
11/1/18,273.51,172.06
10/31/18,270.63,169.82
10/30/18,267.77,165.92
10/29/18,263.86,163.23
10/26/18,265.33,166.66
10/25/18,270.08,171.06
10/24/18,265.32,165.34
10/23/18,273.61,173.27
10/22/18,275.01,173.91
10/19/18,276.25,173.02
10/18/18,276.4,173.18
10/17/18,280.45,177.29
10/16/18,280.4,177.22
10/15/18,274.4,172.21
10/12/18,275.95,174.32
10/11/18,272.17,169.6
10/10/18,278.3,171.73
10/9/18,287.4,179.63
10/8/18,287.82,179.05
10/5/18,287.82,180.15
10/4/18,289.44,182.38
10/3/18,291.72,185.95
10/2/18,291.56,185.75
10/1/18,291.73,186.17
9/28/18,290.72,185.79
9/27/18,290.69,185.83
9/26/18,289.88,184.27
9/25/18,290.75,184.14
9/24/18,291.02,183.89
9/21/18,291.99,183.71
9/20/18,293.58,184.72
9/19/18,291.22,182.7
9/18/18,290.91,182.84
9/17/18,289.34,181.34
9/14/18,290.88,183.99
9/13/18,290.83,184.53
9/12/18,289.12,182.58
9/11/18,289.05,183.12
9/10/18,288.1,181.72
9/7/18,287.6,181.11
9/6/18,288.16,181.81
9/5/18,289.03,183.45
9/4/18,289.81,185.85
8/31/18,290.31,186.65
8/30/18,290.3,186.41
8/29/18,291.48,186.74
8/28/18,289.92,184.61
8/27/18,289.78,184.34
8/24/18,287.51,182.48
8/23/18,285.79,180.8
8/22/18,286.17,181.06
8/21/18,286.34,180.36
8/20/18,285.67,179.7
8/17/18,285.06,179.86
8/16/18,284.06,179.82
8/15/18,281.78,179.23
8/14/18,283.9,181.45
8/13/18,282.1,180.32
8/10/18,283.16,180.52
8/9/18,285.07,181.91
8/8/18,285.46,182.02
8/7/18,285.58,181.8
8/6/18,284.64,181.14
8/3/18,283.6,180.08
8/2/18,282.39,179.53
8/1/18,280.86,177.12
7/31/18,281.33,176.45
7/30/18,279.95,175.11
7/27/18,281.42,177.62
7/26/18,283.34,180.05
7/25/18,284.01,182.82
7/24/18,281.61,180.3
7/23/18,280.2,179.56
7/20/18,279.68,178.99
7/19/18,280,179.03
7/18/18,281.06,179.93
7/17/18,280.47,180.27
7/16/18,279.34,179.18
7/13/18,279.59,179.61
7/12/18,279.37,179.46
7/11/18,276.86,176.42
7/10/18,278.9,177.32
7/9/18,277.9,177.19
7/6/18,275.42,175.61
7/5/18,273.11,172.92
7/3/18,270.9,170.8
7/2/18,271.86,172.8
6/29/18,271.28,171.65
6/28/18,270.89,171.19
6/27/18,269.35,169.73
6/26/18,271.6,172.07
6/25/18,271,171.37
6/22/18,274.74,175.32
6/21/18,274.24,175.71
6/20/18,275.97,177.25
6/19/18,275.5,176
6/18/18,276.56,176.5
6/15/18,277.13,176.98
