Date,Close/Last,,,,
5/8/19,$50.73 ,,,,
5/7/19,$50.72 ,,,,
5/6/19,$52.12 ,,,,
5/3/19,$52.94 ,,,,
5/2/19,$52.29 ,,,,
5/1/19,$52.63 ,,,,
4/30/19,$50.17 ,,,,
4/29/19,$51.15 ,,,,
4/26/19,$51.08 ,,,,
4/25/19,$51.32 ,,,,
4/24/19,$51.79 ,,,,
4/23/19,$51.87 ,,,,
4/22/19,$51.13 ,,,,
4/18/19,$50.97 ,,,,
4/17/19,$50.78 ,,,,
4/16/19,$49.81 ,,,,
4/15/19,$49.81 ,,,,
4/12/19,$49.72 ,,,,
4/11/19,$49.74 ,,,,
4/10/19,$50.16 ,,,,
4/9/19,$49.88 ,,,,
4/8/19,$50.03 ,,,,
4/5/19,$49.25 ,,,,
4/4/19,$48.92 ,,,,
4/3/19,$48.84 ,,,,
4/2/19,$48.51 ,,,,
4/1/19,$47.81 ,,,,
3/29/19,$47.49 ,,,,
3/28/19,$47.18 ,,,,
3/27/19,$47.12 ,,,,
3/26/19,$46.70 ,,,,
3/25/19,$47.19 ,,,,
3/22/19,$47.76 ,,,,
3/21/19,$48.77 ,,,,
3/20/19,$47.04 ,,,,
3/19/19,$46.63 ,,,,
3/18/19,$47.01 ,,,,
3/15/19,$46.53 ,,,,
3/14/19,$45.93 ,,,,
3/13/19,$45.43 ,,,,
3/12/19,$45.23 ,,,,
3/11/19,$44.73 ,,,,
3/8/19,$43.23 ,,,,
3/7/19,$43.13 ,,,,
3/6/19,$43.63 ,,,,
3/5/19,$43.88 ,,,,
3/4/19,$43.96 ,,,,
3/1/19,$43.74 ,,,,
2/28/19,$43.29 ,,,,
2/27/19,$43.72 ,,,,
2/26/19,$43.58 ,,,,
2/25/19,$43.56 ,,,,
2/22/19,$43.24 ,,,,
2/21/19,$42.77 ,,,,
2/20/19,$43.01 ,,,,
2/19/19,$42.73 ,,,,
2/15/19,$42.61 ,,,,
2/14/19,$42.70 ,,,,
2/13/19,$42.55 ,,,,
2/12/19,$42.72 ,,,,
2/11/19,$42.36 ,,,,
2/8/19,$42.60 ,,,,
2/7/19,$42.74 ,,,,
2/6/19,$43.56 ,,,,
2/5/19,$43.55 ,,,,
2/4/19,$42.81 ,,,,
2/1/19,$41.63 ,,,,
1/31/19,$41.61 ,,,,
1/30/19,$41.31 ,,,,
1/29/19,$38.67 ,,,,
1/28/19,$39.08 ,,,,
1/25/19,$39.44 ,,,,
1/24/19,$38.18 ,,,,
1/23/19,$38.48 ,,,,
1/22/19,$38.33 ,,,,
1/18/19,$39.21 ,,,,
1/17/19,$38.97 ,,,,
1/16/19,$38.74 ,,,,
1/15/19,$38.27 ,,,,
1/14/19,$37.50 ,,,,
1/11/19,$38.07 ,,,,
1/10/19,$38.45 ,,,,
1/9/19,$38.33 ,,,,
1/8/19,$37.69 ,,,,
1/7/19,$36.98 ,,,,
1/4/19,$37.07 ,,,,
1/3/19,$35.55 ,,,,
1/2/19,$39.48 ,,,,
12/31/18,$39.44 ,,,,
12/28/18,$39.06 ,,,,
12/27/18,$39.04 ,,,,
12/26/18,$39.29 ,,,,
12/24/18,$36.71 ,,,,
12/21/18,$37.68 ,,,,
12/20/18,$39.21 ,,,,
12/19/18,$40.22 ,,,,
12/18/18,$41.52 ,,,,
12/17/18,$40.99 ,,,,
12/14/18,$41.37 ,,,,
12/13/18,$42.74 ,,,,
12/12/18,$42.28 ,,,,
12/11/18,$42.16 ,,,,
12/10/18,$42.40 ,,,,
12/7/18,$42.12 ,,,,
12/6/18,$43.68 ,,,,
12/4/18,$44.17 ,,,,
12/3/18,$46.21 ,,,,
11/30/18,$44.65 ,,,,
11/29/18,$44.89 ,,,,
11/28/18,$45.24 ,,,,
11/27/18,$43.56 ,,,,
11/26/18,$43.66 ,,,,
11/23/18,$43.07 ,,,,
11/21/18,$44.20 ,,,,
11/20/18,$44.25 ,,,,
11/19/18,$46.47 ,,,,
11/16/18,$48.38 ,,,,
11/15/18,$47.85 ,,,,
11/14/18,$46.70 ,,,,
11/13/18,$48.06 ,,,,
11/12/18,$48.54 ,,,,
11/9/18,$51.12 ,,,,
11/8/18,$52.12 ,,,,
11/7/18,$52.49 ,,,,
11/6/18,$50.94 ,,,,
11/5/18,$50.40 ,,,,
