Date,Close/Last,Volume,Open,High,Low
07/20/2018,279.68,83120620,279.77,280.48,279.5
07/19/2018,280,61337540,280.31,280.74,279.46
07/18/2018,281.06,44475860,280.56,281.18,280.06
07/17/2018,280.47,52171530,278.47,280.91,278.41
07/16/2018,279.34,48070320,279.64,279.803,278.84
07/13/2018,279.59,48211510,279.17,279.93,278.66
07/12/2018,279.37,59986150,278.28,279.43,277.6
07/11/2018,276.86,76905490,277.15,278.04,276.52
07/10/2018,278.9,51162450,278.41,279.01,278.08
07/09/2018,277.9,49652160,276.55,277.96,276.5
07/06/2018,275.42,66414600,273.14,275.84,272.715
07/05/2018,273.11,56621680,272.17,273.18,270.96
07/03/2018,270.9,42187070,272.87,272.98,270.42
07/02/2018,271.86,63370550,269.51,272.04,269.24
06/29/2018,271.28,97444490,272.12,273.66,271.1495
06/28/2018,270.89,76511740,269.29,271.75,268.49
06/27/2018,269.35,104838900,272.26,273.865,269.18
06/26/2018,271.6,68525150,271.64,272.56,270.79
06/25/2018,271,137668700,273.44,273.6162,269.1
06/22/2018,274.74,56516380,275.66,275.785,274.49
06/21/2018,274.24,70864990,275.96,275.98,273.68
06/20/2018,275.97,53652060,276.27,276.72,275.59
06/19/2018,275.5,97395160,274,275.75,273.53
06/18/2018,276.56,52549580,275.49,276.7,274.95
06/15/2018,277.13,119448800,276.6,277.51,275.35
06/14/2018,278.73,76394330,279.01,279.33,278.0599
06/13/2018,278.03,78889800,279.19,279.48,277.8
06/12/2018,278.92,72240090,279.03,279.33,278.19
06/11/2018,278.56,58757260,278.44,279.37,278.31
06/08/2018,278.19,71981550,276.85,278.25,276.66
06/07/2018,277.37,72882070,277.95,278.28,276.34
06/06/2018,277.4,62498610,275.79,277.52,275.09
06/05/2018,275.1,50988090,275.05,275.53,274.18
06/04/2018,274.9,45188240,274.53,275.185,274.26
06/01/2018,273.6,71088010,272.41,273.94,272.33
05/31/2018,270.94,93426970,272.15,272.49,270.255
05/30/2018,272.61,69396900,270.5,273.11,270.42
05/29/2018,269.02,115692100,270.31,271.17,267.76
05/25/2018,272.15,56329040,272.15,272.86,271.58
05/24/2018,272.8,75966080,272.91,273.22,270.78
05/23/2018,273.36,64605540,271.17,273.39,270.99
05/22/2018,272.61,52880880,273.96,274.25,272.24
05/21/2018,273.37,57738110,273.01,273.98,271.3512
05/18/2018,271.33,64174990,271.62,272.03,270.93
05/17/2018,272.01,56371150,271.94,273.23,271.13
05/16/2018,272.24,53759700,271.14,272.76,271.11
05/15/2018,271.1,86876380,271.59,271.61,270.03
05/14/2018,272.98,54702570,273.34,274.08,272.36
05/11/2018,272.85,59725680,272.16,273.15,271.58
05/10/2018,272.02,70764000,270.34,272.39,270.22
05/09/2018,269.5,59538590,267.68,269.865,267.09
05/08/2018,266.92,67338050,266.5,267.325,265.15
05/07/2018,266.92,55054350,266.89,268.02,266.11
05/04/2018,266.02,91154240,261.52,266.7892,261.15
05/03/2018,262.62,136144700,262.26,263.36,259.05
05/02/2018,263.2,85501550,264.76,265.68,262.76
05/01/2018,264.98,75986700,263.87,265.1,262.11
04/30/2018,264.51,80475460,267.26,267.89,264.43
04/27/2018,266.56,57021920,267,267.34,265.5
